dispersion,tzero,alpha,lambda_tx,theta,Tx_max,meanR0,meanGT,meanSI,R0_RSS
10,1,10.18,7.165,10,1,1.754,5.174934725848564,4.835509138381201,0.001134436841515043
20,1,10.18,7.165,20,1,3.957,4.945876288659794,4.693298969072165,0.0013471333057134037
20,1,10.18,7.165,10,1,2.094,5.0647887323943666,5.476056338028169,0.0024652055574166357
40,1,10.18,7.165,20,1,3.909,5.153409090909091,5.193181818181818,0.0033315147370604546
40,1,10.18,7.165,40,1,7.606,5.3915929203539825,5.570796460176991,0.006669135376145629
10,1,10.18,7.165,20,1,4.124,5.3276955602537,5.4926004228329806,0.007625322000723204
20,1,10.18,7.165,40,1,7.702,5.29957805907173,5.386075949367089,0.009726899923472311
10,1,10.18,7.165,40,1,7.762,5.574036511156186,5.898580121703854,0.013801858589235457
40,1,10.18,7.165,10,1,2.271,4.87593984962406,5.112781954887218,0.019784418634330576
10,1,10.18,7.165,4,1,0.78,4.8359375,4.5859375,0.022597858132448717
20,1,10.18,7.165,4,1,0.642,4.945945945945946,5.075675675675676,0.0487933422401954
40,1,10.18,7.165,4,1,1.078,4.720779220779221,4.87012987012987,0.0657067846296232
10,1,10.18,7.165,2,1,0.306,4.738095238095238,5.253968253968254,0.07977735502365339
20,1,10.18,7.165,2,1,0.41,4.401639344262295,4.024590163934426,0.08254553669529224
40,1,10.18,7.165,2,1,0.428,5.102941176470588,4.485294117647059,0.12061604040971605
