betaT,delta1,piT,betaS,delta2,piS,ttau,log10TN,w,k1,k2,gamma,T10,T20,I10,c
0.00011199268673691174,0.9314566443512898,4.9532937030001065,8.445545854739082e-08,3.819820705742319,45.766970224982735,14.530109255992379,8.181035526282422,0.09142335474018155,4.0,4.0,0.001,4000000.0,480000000.0,1.0,10.0
2.884325676468588e-05,1.1196916976719598,4.658954067163027,2.0662666312794322e-08,2.5849834161567466,23.138912170703318,16.377027531095273,8.152430079045311,0.08395926288144653,4.0,4.0,0.001,4000000.0,480000000.0,1.0,10.0
5.499797484760218e-05,1.0143636069391975,2.626562599960678,8.532424633432083e-08,2.239688509904316,4.018633668694527,16.42046646509623,8.622320062982224,0.07185822135435584,4.0,4.0,0.001,4000000.0,480000000.0,1.0,10.0
4.085977013876462e-05,0.701466830780337,0.9518823261258134,6.5271342804882645e-09,2.335608799733044,56.052966570591586,16.04961003434985,8.101311352257973,0.03686458541515289,4.0,4.0,0.001,4000000.0,480000000.0,1.0,10.0
0.0001215765330409786,0.7689906818300618,3.0377056636379365,4.040404642555239e-08,2.0154803692021703,25.09287485763975,14.126647294565549,7.8787001524146305,0.057843196810817225,4.0,4.0,0.001,4000000.0,480000000.0,1.0,10.0
4.34347888649796e-05,0.8718780754255657,4.038954351535929,6.080750615693292e-09,1.6167434891739203,17.40316884446812,14.249021398133582,7.752546382228917,0.0954170093514623,4.0,4.0,0.001,4000000.0,480000000.0,1.0,10.0
2.4116176947495702e-05,0.9901947432459888,3.8043901599526215,5.129828591227282e-08,2.548969790817262,12.951783863994994,13.39217875014113,8.462782942767758,0.09563743161202498,4.0,4.0,0.001,4000000.0,480000000.0,1.0,10.0
9.783682178359047e-05,1.1985516385768897,5.223758093659732,1.1583895248505765e-08,1.2712859915469787,49.59806211872208,14.247454447275002,8.553033055464457,0.07593941158751481,4.0,4.0,0.001,4000000.0,480000000.0,1.0,10.0
7.157749340319465e-05,0.923636856638286,4.5853157631166646,1.7316072052310413e-08,3.7489693059387346,15.548839321441559,15.151212550805276,7.831802304271253,0.13418852358352126,4.0,4.0,0.001,4000000.0,480000000.0,1.0,10.0
0.00012120933228383616,0.7861394677214737,2.619410586572445,7.488447936854218e-08,3.484119972162511,79.4465648993325,15.71698890214584,7.968329527153018,0.20617844028819135,4.0,4.0,0.001,4000000.0,480000000.0,1.0,10.0
